# ~alp d~p/dz   Phi_p_sgs,z
  -0.4591152E+001   0.3729338E+000
  -0.1879263E+001   0.3371657E-001
  -0.1045008E+001   0.3907626E-002
  -0.1186913E+001   0.2002116E-001
  -0.1380865E+001   0.2182623E-001
  -0.1227786E+001  -0.1111688E-002
  -0.6980701E+000  -0.1671251E-001
   0.2077248E+000   0.2925048E+000
   0.3847616E+001   0.1383589E+001
   0.4821436E+002   0.2079421E+002
   0.1570763E+003   0.3791208E+002
   0.2919881E+003   0.7141352E+002
   0.3741592E+003   0.8798638E+002
   0.2393237E+003   0.1140335E+003
   0.4671915E+002   0.5897654E+002
   0.4447376E+001   0.8957357E+001
  -0.5461476E+000   0.1107166E+001
  -0.1579052E+001   0.1548620E+000
  -0.3160475E+001   0.8490583E-001
  -0.5505889E+001   0.2949527E+000
  -0.5856039E+001   0.1124411E+000
   0.1534066E+000   0.6206756E+001
   0.2961296E+002   0.1768974E+002
   0.4797743E+002   0.2500617E+002
   0.1279706E+002   0.3111980E+002
  -0.1295039E+002   0.1690161E+002
  -0.1394054E+002   0.6260527E+001
  -0.1169613E+002   0.2098184E+001
  -0.1785509E+002  -0.9618157E+000
  -0.2776756E+002  -0.2672462E+001
  -0.2848846E+002  -0.1564843E+001
  -0.1732820E+002   0.4018125E+001
  -0.4932039E+001   0.5210285E+001
   0.1640826E+001   0.6852969E+001
   0.5968672E+001   0.4237277E+001
  -0.7277653E+001   0.6431585E+001
  -0.1443939E+002   0.4043300E+001
  -0.4758105E+001   0.2003238E+000
  -0.6197715E+001   0.4273234E+000
  -0.6588379E+001   0.5057358E+000
  -0.4882545E+001   0.3628568E+000
  -0.2312652E+001   0.2460267E-001
  -0.1254157E+001   0.7293950E-002
  -0.1248553E+001   0.2231400E-001
  -0.1370374E+001   0.1383323E-001
  -0.1164396E+001  -0.9205529E-002
  -0.6828362E+000   0.3971476E-001
   0.3763121E+000   0.4245810E+000
   0.7010070E+001   0.2248687E+001
   0.4035364E+002   0.2285401E+002
   0.1417113E+003   0.2725824E+002
   0.2063645E+003   0.1837562E+002
   0.1668066E+003   0.2304012E+002
   0.1032686E+003   0.2997188E+002
   0.2998167E+002   0.1024415E+002
   0.8639363E+001   0.5983915E+001
   0.7417273E+000   0.1692937E+001
  -0.1101412E+001   0.2706654E+000
  -0.2588988E+001  -0.9679345E-001
  -0.6184063E+001   0.4807604E+000
  -0.4943195E+001   0.1629854E+001
   0.2920754E+001   0.1022852E+001
   0.1122286E+002   0.3565363E+001
   0.2068685E+002   0.1268943E+002
   0.2083518E+002   0.2465111E+002
   0.3743808E+001   0.2810762E+002
  -0.1113192E+002   0.2077250E+002
  -0.1080097E+002   0.6428614E+001
  -0.7454917E+001   0.6990471E+000
  -0.6862587E+001  -0.1289931E+000
  -0.6247937E+001  -0.3382927E+000
  -0.5090306E+001  -0.1675313E+000
  -0.3856815E+001   0.7726654E+000
  -0.3429512E+001   0.2145936E+001
  -0.1079847E+002   0.4158297E+001
  -0.2844895E+002   0.2806095E+001
  -0.3140871E+002   0.5673541E+001
  -0.5878309E+001   0.2012485E+000
  -0.4049182E+001   0.3396503E+000
  -0.4276744E+001   0.2970222E+000
  -0.3498021E+001   0.1200235E+000
  -0.2221410E+001  -0.2667156E-003
  -0.1571144E+001   0.4812072E-002
  -0.1476736E+001   0.1065390E-001
  -0.1475789E+001   0.2262189E-002
  -0.1331010E+001  -0.4855299E-002
  -0.1072131E+001   0.7848944E-001
  -0.7440531E-001   0.4628258E+000
   0.5080264E+001   0.2896517E+001
   0.1049864E+002   0.8761976E+001
   0.5027386E+002   0.2233870E+002
   0.8490741E+002   0.1407715E+002
   0.5130268E+002   0.1815913E+002
   0.2294628E+002   0.1630355E+002
   0.1086537E+002   0.4414080E+001
   0.7245880E+001   0.2226307E+001
   0.1862235E+001   0.1439428E+001
  -0.5205833E+000   0.3056782E+000
  -0.1743989E+001  -0.1045759E+000
  -0.5249697E+001   0.6074501E+000
  -0.6300563E+001   0.5640071E+001
   0.6760081E+001   0.1171265E+002
   0.1932558E+002   0.9647640E+001
   0.2171212E+002   0.2238907E+002
   0.3801461E+002   0.3954623E+002
   0.3371230E+002   0.3890862E+002
   0.3782473E+001   0.2450520E+002
  -0.7039742E+001   0.5347582E+001
  -0.5137372E+001   0.1029915E+001
  -0.3540526E+001   0.1937133E+000
  -0.2719820E+001  -0.2089623E-002
  -0.2170235E+001  -0.2228701E-001
  -0.1892632E+001   0.8756540E-002
  -0.1815757E+001   0.2124384E-001
  -0.6397702E+001  -0.2415993E+000
  -0.2987685E+002  -0.3192579E+001
  -0.3861721E+002   0.4503810E+001
  -0.1291554E+002   0.1217690E+001
  -0.2725223E+001   0.2000141E-001
  -0.2804655E+001   0.1119468E-001
  -0.2539264E+001  -0.1043267E-001
  -0.2113903E+001   0.2695036E-004
  -0.1843350E+001   0.7894395E-002
  -0.1655949E+001   0.5125811E-002
  -0.1559127E+001  -0.1409453E-002
  -0.1739997E+001  -0.1515522E-001
  -0.2019948E+001   0.4888885E-001
  -0.1450028E+001   0.4994850E+000
   0.1080293E+001   0.1511327E+001
   0.4190440E+001   0.1705113E+001
   0.1561169E+002   0.3987580E+001
   0.1778085E+002   0.6704053E+001
   0.6390298E+001   0.7883747E+001
   0.7944558E+000   0.3440513E+001
   0.1149303E+001   0.1429568E+001
   0.2303264E+001   0.8190633E+000
   0.1139019E+001   0.6448651E+000
  -0.5922569E+000   0.5579274E-001
  -0.1831517E+001   0.1803469E-001
  -0.3061745E+001   0.1303983E+000
  -0.5075137E+001   0.6810995E+001
   0.5055161E+001   0.2754348E+002
   0.3208584E+002   0.1843394E+002
   0.4156417E+002   0.2582344E+002
   0.5389071E+002   0.4778798E+002
   0.4016753E+002   0.5596518E+002
   0.1044527E+002   0.3155681E+002
  -0.3129629E+001   0.5261850E+001
