#dalpdx  dalpdy   dalpdz
  -0.6031526E+001  -0.5463727E+001  -0.4734164E+001
  -0.5649574E+001  -0.5714428E+001  -0.3433352E+001
  -0.5771608E+001  -0.3698718E+001  -0.2718018E+001
  -0.8172154E+000  -0.3245870E+001  -0.2972819E+001
  -0.1620999E+001  -0.3231141E+001  -0.3135000E+001
  -0.2025901E+001  -0.1411484E+001  -0.2703361E+001
  -0.1107965E+001  -0.1023408E+001  -0.1576082E+001
  -0.9549577E-001  -0.1525100E+001  -0.8600938E+000
   0.5523743E+000  -0.1398073E+001  -0.9349832E+000
   0.1207148E+001  -0.1319644E+001  -0.8419068E+000
   0.2290553E+001  -0.7818583E+000  -0.1270017E+001
   0.1978615E+001  -0.9449998E+000  -0.1775681E+001
   0.3682669E+001  -0.2157905E+001  -0.9312526E+000
   0.3032564E+001  -0.2789207E+001  -0.3475102E+000
   0.2125247E+001  -0.2252832E+001   0.1416796E+000
   0.2984405E+001   0.6044131E+000   0.7143132E+000
   0.9969327E+000   0.3166110E+001  -0.2385172E+000
   0.3846061E+001   0.5013494E+001  -0.1713327E+001
   0.5494026E+001   0.4662211E+001  -0.1664479E+001
  -0.4199180E+000   0.1573418E+001  -0.1378405E+001
   0.8424867E-001  -0.1479112E+001  -0.7125217E+000
  -0.1874895E+001  -0.9543540E+000  -0.4731327E+000
  -0.7089967E+001  -0.1994704E+000  -0.2224949E+000
  -0.4229876E+001   0.1092359E+001  -0.8368364E+000
  -0.3394861E+001   0.1317593E+001  -0.1106814E+001
  -0.6339137E+001  -0.1602661E+000   0.1453553E-001
  -0.2878783E+001  -0.8899610E+000   0.2558282E+000
  -0.1628549E+001  -0.1174409E+001   0.4229921E+000
  -0.1180146E+001   0.1865270E-001   0.3593826E-001
   0.3069443E+000   0.7461481E+000  -0.3983343E+000
   0.9107663E+000  -0.2873066E+000  -0.8407624E+000
   0.4938531E+000  -0.1467825E+001  -0.1789876E+001
   0.2622428E+001   0.1495295E+001  -0.1955589E+001
  -0.1257548E+000   0.1674868E+001  -0.2644380E+001
   0.1565392E+001   0.1352426E+001  -0.3295870E+001
   0.5078791E+001   0.3302622E+000  -0.2913208E+001
   0.4730138E+001  -0.5839873E+000  -0.4198933E+001
   0.3267329E+001  -0.2949220E+001  -0.5566401E+001
   0.3199989E+001  -0.4706050E+001  -0.4776169E+001
  -0.3247733E+001  -0.5016517E+001  -0.4154838E+001
  -0.7361859E+001  -0.6788563E+001  -0.2741903E+001
  -0.4000696E+001  -0.6201826E+001  -0.9131947E+000
  -0.4348283E+001  -0.4766398E+001  -0.6453147E+000
  -0.5380973E+000  -0.3720284E+001  -0.1065961E+001
  -0.1395412E+000  -0.2231341E+001  -0.9320310E+000
  -0.4423512E+000  -0.5149294E+000  -0.7125102E+000
  -0.1377153E+001  -0.2838957E+000  -0.4784400E+000
  -0.4863462E+000  -0.2391570E+000  -0.4712872E+000
   0.5481181E+000  -0.6437925E+000  -0.9710137E+000
   0.1107572E+001  -0.8464937E+000  -0.1059217E+001
   0.1800365E+001  -0.1632994E+001  -0.1340830E+001
   0.2100974E+001  -0.1929539E+001  -0.1684805E+001
   0.1743456E+001  -0.2132932E+001  -0.1066975E+001
   0.2955916E+001  -0.3295539E+001  -0.1035065E+001
   0.3018305E+001  -0.2772301E+001  -0.1093974E+001
   0.5046228E+001  -0.2323347E+001  -0.1242220E+001
   0.2008429E+001  -0.2351325E+001  -0.2770009E+001
   0.3610217E+001  -0.2541141E+001  -0.4338938E+001
   0.3770641E+001  -0.3872684E+001  -0.4412794E+001
  -0.2539100E+001  -0.4571688E+001  -0.3938932E+001
   0.9711222E+000  -0.3793541E+001  -0.2933585E+001
   0.8552732E+000  -0.1256888E+001  -0.2057412E+001
  -0.5184645E+001   0.2494859E+001  -0.2878203E+000
  -0.3413205E+001   0.3793926E+001   0.1457040E+000
  -0.4250440E+001   0.3556566E+001   0.1668585E+000
  -0.7903065E+001   0.2870112E+001   0.1299555E+001
  -0.3868385E+001   0.8060141E+000   0.5894505E+000
  -0.1024437E+001   0.7820489E+000   0.1467755E+000
  -0.2236863E+000   0.1120689E+001  -0.4170553E-001
   0.3311234E+000   0.1507470E+001  -0.6736917E-001
   0.3463964E-001   0.1591708E+001  -0.2244332E+000
   0.9601804E+000   0.1247774E+001  -0.1302532E+001
   0.2482897E+001   0.1166675E+001  -0.2438176E+001
  -0.3737840E+000   0.7428022E+000  -0.3247968E+001
   0.7619897E+000   0.3540843E+000  -0.4074184E+001
   0.4101697E+001  -0.1015898E+001  -0.3099550E+001
   0.2803704E+001  -0.3394307E+001  -0.3817689E+001
   0.1339814E+001  -0.5480244E+001  -0.3961754E+001
   0.5587952E+000  -0.9247278E+001  -0.2242427E+001
  -0.3516662E+001  -0.9890781E+001  -0.1604568E+001
  -0.6365446E+001  -0.8068515E+001  -0.5764752E+000
  -0.2395988E+001  -0.6206105E+001   0.2903967E+000
  -0.1668113E+001  -0.3066313E+001  -0.2254432E+000
   0.5227846E+000  -0.9718707E+000  -0.5068298E+000
   0.5839147E+000  -0.9847392E+000  -0.8158662E-001
  -0.2308070E+000  -0.7849221E+000   0.6523353E-001
  -0.8603325E+000  -0.3383864E+000  -0.1080383E-001
  -0.5205375E+000   0.1848805E+000  -0.3709788E+000
   0.1451496E+000  -0.7357944E-001  -0.8290958E+000
   0.6038257E+000  -0.5522895E+000  -0.9785825E+000
   0.1465239E+001  -0.8265742E+000  -0.1325758E+001
   0.1600759E+001  -0.1654545E+001  -0.1575372E+001
   0.1334343E+001  -0.2590990E+001  -0.1279161E+001
   0.2751649E+001  -0.2938783E+001  -0.1037904E+001
   0.3376108E+001  -0.2017871E+001  -0.1148584E+001
   0.5250479E+001  -0.9736606E+000  -0.1434657E+001
   0.2027091E+001   0.5008148E+000  -0.2179489E+001
   0.2035209E+001   0.8131208E+000  -0.3676606E+001
   0.2860210E+001  -0.1642353E+001  -0.4632471E+001
  -0.2036451E+001  -0.2101460E+001  -0.4690239E+001
   0.1487072E-001  -0.4046315E+001  -0.4286621E+001
   0.3056413E+001  -0.5560364E+001  -0.3853972E+001
  -0.3535382E+001  -0.3547782E+001  -0.9348567E+000
  -0.3503819E+001  -0.3467918E+001   0.6016909E+000
  -0.2825964E+001  -0.1870099E+001   0.1221121E+001
  -0.6914266E+001   0.2249162E+000   0.2167267E+001
  -0.3856185E+001   0.1145109E+001   0.8774035E+000
  -0.7599471E+000   0.1454610E+001   0.1665241E+000
   0.2723081E+000   0.1232615E+001  -0.7410204E-001
   0.4102333E+000   0.1448867E+001   0.7597861E-001
  -0.1998694E+000   0.1351099E+001  -0.2332063E-001
   0.1009796E+001   0.1384167E+001  -0.1654443E+001
   0.2275885E+001   0.1692604E+001  -0.3088167E+001
  -0.7963989E+000   0.9276053E+000  -0.4187395E+001
  -0.4800903E+000   0.3167138E+000  -0.4884961E+001
   0.1111735E+001  -0.9525410E+000  -0.3034239E+001
  -0.4173964E+000  -0.4604376E+001  -0.2753557E+001
  -0.7476790E+000  -0.5877427E+001  -0.2348255E+001
  -0.5008408E+000  -0.6202464E+001  -0.1214966E+001
  -0.1888611E+001  -0.5106344E+001  -0.9919910E+000
  -0.3397524E+001  -0.2245279E+001  -0.5085739E+000
