#sig_xx    sig_xy    sig_xz    sig_yy    sig_yz    sig_zz
   0.1446703E-001   0.4584216E-002   0.1893742E-001   0.2851266E-002   0.4997754E-002   0.4020846E-001
   0.1601476E-001   0.1817804E-001   0.1694635E+000   0.4137114E-001   0.2387252E+000   0.2218701E+001
   0.1764066E-002   0.3348425E-002   0.3158360E-002   0.2062977E-001   0.2749678E-001   0.4861067E-001
   0.6230727E-002  -0.2081889E-002   0.5976431E-003   0.7301945E-002   0.1637835E-001   0.4593104E-001
   0.1666360E-001   0.1342414E-001   0.8905604E-001   0.1650480E-001   0.1003036E+000   0.6307267E+000
   0.3387430E-002   0.3720554E-002   0.1966729E-001   0.2131135E-001   0.8899340E-001   0.4041017E+000
   0.3429987E-002  -0.7444271E-003   0.1005053E-001   0.3026139E-002   0.1324586E-001   0.1279023E+000
   0.3495400E-002  -0.2947605E-002  -0.1740583E-001   0.1920846E-001   0.3020837E-001   0.1239119E+000
   0.4781187E-002   0.7751669E-002   0.2213963E-001   0.2432090E-001   0.1130151E+000   0.7392597E+000
   0.5278865E-002   0.1911137E-002   0.3965912E-001   0.1282749E-001   0.1046667E+000   0.1081936E+001
   0.2484592E-001  -0.6673826E-002  -0.9627914E-001   0.4873613E-002   0.2155656E-002   0.6123988E+000
   0.3723878E-001  -0.2832179E-002  -0.1069703E+000   0.2111832E-002   0.6964887E-002   0.3534393E+000
   0.3008721E-001   0.3290469E-002  -0.5304074E-001   0.3245076E-002  -0.1372744E-001   0.1182351E+000
   0.3016831E-001  -0.7286375E-003  -0.5340319E-001   0.3507747E-002  -0.1061110E-001   0.1400669E+000
   0.2054670E-001  -0.1920424E-002  -0.3099636E-001   0.6136878E-002  -0.8150433E-002   0.1066916E+000
   0.1110619E-001   0.5584823E-003  -0.1591076E-001   0.7444894E-002  -0.1410209E-001   0.5458610E-001
   0.5558182E-002  -0.2350912E-003  -0.1645429E-001   0.1228877E-001  -0.1230738E-001   0.1013165E+000
   0.3188954E-002   0.2624194E-002  -0.1778344E-001   0.1665165E-001  -0.3913083E-001   0.2959771E+000
   0.6533227E-002   0.5535938E-002  -0.3162322E-001   0.1632019E-001  -0.7913385E-001   0.4310178E+000
   0.1779965E-001   0.6469364E-002  -0.1196545E-002   0.2491560E-001  -0.1699625E-001   0.5263814E-001
   0.2866725E-001   0.3226489E-001  -0.1566375E+000   0.5669848E-001  -0.1515904E+000   0.1189197E+001
   0.4633311E-001   0.1936739E-001  -0.1934599E-001   0.1252813E+000  -0.3493925E+000   0.1107124E+001
   0.2581774E+000   0.4689458E-001  -0.5071417E+000   0.1876264E+000  -0.3881483E+000   0.1632609E+001
   0.1835783E+000   0.4145257E-001  -0.2735132E+000   0.1270091E+000  -0.1774037E+000   0.5855225E+000
   0.1290034E-001  -0.1302592E-001   0.1798633E-001   0.4992956E-001  -0.5757547E-001   0.8022797E-001
   0.1152710E-001  -0.5859681E-002   0.4461627E-002   0.1312761E-001  -0.1240761E-001   0.4973816E-001
   0.9323868E-001   0.9624295E-002  -0.1307553E+000   0.4647004E-001  -0.6766765E-001   0.3204218E+000
   0.5793563E-001  -0.5022340E-001  -0.2761691E-001   0.2065542E+000  -0.1705031E+000   0.4072164E+000
   0.7302587E-001  -0.3292484E-001   0.1192372E+000   0.1792438E+000  -0.8030026E-001   0.3314026E+000
   0.4641593E-001  -0.2390960E-001   0.1377990E+000   0.9164944E-001  -0.9889650E-001   0.4783942E+000
   0.7301302E-001  -0.8137892E-002   0.1892233E+000   0.1151984E-001   0.7692742E-002   0.5915545E+000
   0.1084541E-001   0.1309264E-001   0.2878168E-001   0.3297209E-001   0.2957251E-001   0.1932197E+000
   0.1639551E-001   0.2329334E-001   0.1824490E-001   0.3785011E-001   0.3112128E-001   0.8394141E-001
   0.8901439E-002   0.6549866E-002   0.9287638E-002   0.3570414E-001   0.2102544E-001   0.9824007E-001
   0.1730287E-001  -0.8011042E-002  -0.1051124E-001   0.2357876E-001  -0.7563828E-002   0.8004205E-001
   0.5821264E-002  -0.4462411E-002  -0.5970733E-002   0.1844441E-001   0.6636723E-002   0.9510031E-001
   0.2743440E-002  -0.9890719E-004   0.2866072E-002   0.5061961E-002   0.3037690E-003   0.2132921E-001
   0.2426377E-002   0.1604502E-002  -0.8813888E-003   0.4264140E-002   0.2697269E-002   0.1156708E-001
   0.3942143E-001  -0.2131522E-001  -0.2338944E-001   0.8065999E-001   0.5275337E-001   0.4318563E-001
   0.3157396E-001   0.1168477E-001   0.8952922E-002   0.1064468E+000   0.1027595E+000   0.1075853E+000
   0.1374957E-002  -0.1219684E-002   0.2040485E-002   0.3691428E-002  -0.1506511E-002   0.5139828E-001
   0.3585842E-001  -0.2064745E-001   0.2032569E+000   0.5498190E-001  -0.1314677E+000   0.1592727E+001
   0.3544296E-002   0.6680353E-003  -0.5538252E-002   0.4384392E-001   0.2601809E-001   0.5848692E-001
   0.1263020E-001   0.6876024E-003   0.3234781E-001   0.7909273E-002   0.1723584E-001   0.1297154E+000
   0.1178803E-001   0.2347921E-002   0.5087752E-001   0.1597032E-001   0.7321428E-001   0.5033275E+000
   0.3298734E-002   0.1734419E-002   0.1395276E-001   0.6636608E-002   0.3019156E-001   0.1572006E+000
   0.4375402E-002   0.3839685E-002   0.3109619E-001   0.8223669E-002   0.5369040E-001   0.3747345E+000
   0.1441403E-001  -0.5131830E-002  -0.1200300E-001   0.3539135E-002   0.1617313E-001   0.1212700E+000
   0.2313084E-002  -0.1075520E-002  -0.2531147E-003   0.2310932E-002   0.3178648E-002   0.1349483E+000
   0.1334016E-002   0.1229684E-002   0.4639593E-002   0.1723564E-001   0.1226294E+000   0.1011999E+001
   0.4828733E-002  -0.1104038E-002  -0.1574606E-001   0.5850271E-002   0.5900911E-001   0.6320369E+000
   0.4317091E-001  -0.7803682E-002  -0.1547991E+000   0.2913566E-002   0.3084273E-001   0.5978594E+000
   0.2869850E-001  -0.7236534E-003  -0.6075523E-001   0.4571646E-002   0.2362094E-003   0.1570135E+000
   0.2771644E-001  -0.8076169E-002  -0.5536252E-001   0.4131818E-002   0.9803516E-002   0.1527495E+000
   0.4501762E-001  -0.6381610E-002  -0.7315501E-001   0.5612057E-002   0.8447484E-002   0.1627992E+000
   0.2729498E-001   0.4486545E-003  -0.4703423E-001   0.5313117E-002  -0.4615306E-002   0.9127262E-001
   0.4269858E-002   0.2262517E-002  -0.1149822E-001   0.8307876E-002   0.4482199E-002   0.7292418E-001
   0.4450036E-002  -0.7714795E-004  -0.2846902E-001   0.7999012E-002   0.8398683E-002   0.2084691E+000
   0.1892878E-001   0.6325103E-002  -0.8164619E-001   0.9703386E-002  -0.3935210E-001   0.3814691E+000
   0.1701079E-001   0.7385419E-002  -0.5249186E-001   0.3107761E-001  -0.5262423E-001   0.2536880E+000
   0.1015794E+000   0.3091041E-001  -0.4450274E+000   0.3077402E-001  -0.1248672E+000   0.2201966E+001
