# <alp>   <alp2>    <alp/alpg>   <alpg/alp>    <alp^2/alpg>    <alp^2/alpg^2>
   0.1337096E-001   0.1814068E-003   0.1355490E-001   0.7488729E+002   0.1839391E-003   0.1865072E-003
   0.2355718E-001   0.5572566E-003   0.2412799E-001   0.4162380E+002   0.5708183E-003   0.5847114E-003
   0.2725624E-001   0.7467708E-003   0.2802416E-001   0.3587946E+002   0.7679228E-003   0.7896771E-003
   0.2374250E-001   0.5662924E-003   0.2432270E-001   0.4130933E+002   0.5801966E-003   0.5944439E-003
   0.1897164E-001   0.3650627E-003   0.1934396E-001   0.5252962E+002   0.3723212E-003   0.3797259E-003
   0.5434076E-001   0.3934633E-002   0.5863392E-001   0.2709109E+002   0.4293162E-002   0.4686741E-002
   0.7389705E-001   0.6386164E-002   0.8097798E-001   0.1516838E+002   0.7080937E-002   0.7858806E-002
   0.9073652E-001   0.9513369E-002   0.1015488E+000   0.1178105E+002   0.1081225E-001   0.1231031E-001
   0.1520597E+000   0.2335074E-001   0.1797012E+000   0.5646483E+001   0.2764150E-001   0.3273025E-001
   0.1730135E+000   0.3366529E-001   0.2157071E+000   0.5855309E+001   0.4269355E-001   0.5429299E-001
   0.1128329E+000   0.1634580E-001   0.1328786E+000   0.1006166E+002   0.2004575E-001   0.2475254E-001
   0.8826426E-001   0.8753486E-002   0.9813840E-001   0.1153776E+002   0.9874142E-002   0.1115935E-001
   0.6271072E-001   0.4016754E-002   0.6700838E-001   0.1531404E+002   0.4297659E-002   0.4598583E-002
   0.4061572E-001   0.1903498E-002   0.4262684E-001   0.2717785E+002   0.2011125E-002   0.2125512E-002
   0.2509814E-001   0.6934170E-003   0.2581291E-001   0.4379383E+002   0.7147690E-003   0.7368224E-003
   0.9575429E-002   0.1018036E-003   0.9678452E-002   0.1135277E+003   0.1030229E-003   0.1042584E-003
   0.5084985E-002   0.2608516E-004   0.5111206E-002   0.1972533E+003   0.2622095E-004   0.2635746E-004
   0.1212169E-001   0.1792546E-003   0.1230419E-001   0.9639529E+002   0.1825097E-003   0.1858328E-003
   0.5031003E-001   0.2572367E-002   0.5302327E-001   0.1923858E+002   0.2713236E-002   0.2861932E-002
   0.1293021E-001   0.1729269E-003   0.1310556E-001   0.7876304E+002   0.1753586E-003   0.1778259E-003
   0.1949598E-001   0.4034346E-003   0.1990845E-001   0.5339191E+002   0.4124721E-003   0.4217227E-003
   0.3665734E-001   0.1488240E-002   0.3821384E-001   0.2988470E+002   0.1556499E-002   0.1628068E-002
   0.2150154E-001   0.4846325E-003   0.2199795E-001   0.4762355E+002   0.4964119E-003   0.5084941E-003
   0.8339198E-001   0.8310713E-002   0.9287262E-001   0.1267357E+002   0.9480639E-002   0.1085051E-001
   0.1945830E+000   0.4527474E-001   0.2555235E+000   0.6147748E+001   0.6094051E-001   0.8237479E-001
   0.4274805E-001   0.2242335E-002   0.4513760E-001   0.2730707E+002   0.2389554E-002   0.2547409E-002
   0.1829719E+000   0.3419056E-001   0.2252338E+000   0.4598922E+001   0.4226188E-001   0.5228239E-001
   0.3927482E-001   0.2070924E-002   0.4148759E-001   0.3590504E+002   0.2212770E-002   0.2365592E-002
   0.3920919E-001   0.2470787E-002   0.4189603E-001   0.5056512E+002   0.2686844E-002   0.2924455E-002
   0.8371077E-001   0.7683571E-002   0.9223994E-001   0.1241691E+002   0.8529172E-002   0.9474006E-002
   0.2116894E-001   0.4890897E-003   0.2167047E-001   0.5121989E+002   0.5015319E-003   0.5143084E-003
   0.8207493E-002   0.7525421E-004   0.8283526E-002   0.1330686E+003   0.7603292E-004   0.7682049E-004
   0.9782028E-001   0.1140259E-001   0.1109339E+000   0.1216346E+002   0.1311359E-001   0.1510088E-001
   0.6141595E-001   0.3902710E-002   0.6559518E-001   0.1579766E+002   0.4179229E-002   0.4476293E-002
   0.6135212E-001   0.3816889E-002   0.6542586E-001   0.1554913E+002   0.4073738E-002   0.4348093E-002
   0.1752280E-001   0.3730420E-003   0.1790525E-001   0.6983739E+002   0.3824535E-003   0.3921266E-003
   0.5783046E-002   0.3359020E-004   0.5816833E-002   0.1726677E+003   0.3378732E-004   0.3398561E-004
   0.5181052E-002   0.2690389E-004   0.5208097E-002   0.1924408E+003   0.2704465E-004   0.2718615E-004
   0.5789026E-002   0.3366045E-004   0.5822884E-002   0.1724920E+003   0.3385820E-004   0.3405712E-004
