 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.5451820E+003   0.5561400E+003
   0.5536712E+003   0.5755088E+003
   0.5765052E+003   0.6232371E+003
   0.6031008E+003   0.6573864E+003
   0.6436971E+003   0.6570394E+003
   0.7474215E+003   0.7658158E+003
   0.8827271E+003   0.9047840E+003
   0.9243520E+003   0.9399715E+003
   0.1013499E+004   0.1014583E+004
   0.1004880E+004   0.1006156E+004
   0.9355787E+003   0.9343862E+003
   0.9173185E+003   0.8931319E+003
   0.8916552E+003   0.8629804E+003
   0.8702877E+003   0.8442914E+003
   0.8808679E+003   0.8576624E+003
   0.8490875E+003   0.8361159E+003
   0.8036863E+003   0.8058104E+003
   0.7616616E+003   0.7725081E+003
   0.7425444E+003   0.7619083E+003
   0.7288372E+003   0.7576168E+003
   0.7090830E+003   0.7489340E+003
   0.7146103E+003   0.7628240E+003
   0.7075529E+003   0.7604118E+003
   0.7023560E+003   0.7543039E+003
   0.6953402E+003   0.7459126E+003
   0.7007628E+003   0.7432533E+003
   0.7120913E+003   0.7558628E+003
   0.7210436E+003   0.7506438E+003
   0.7390885E+003   0.7637501E+003
   0.6915243E+003   0.7199852E+003
   0.6295224E+003   0.6571158E+003
   0.5685162E+003   0.6168752E+003
   0.4975157E+003   0.5676395E+003
   0.4540322E+003   0.5268189E+003
   0.4200402E+003   0.4659266E+003
   0.3915604E+003   0.4199668E+003
   0.4057725E+003   0.4286844E+003
   0.4410188E+003   0.4763047E+003
   0.4700178E+003   0.5122490E+003
   0.5201378E+003   0.5520796E+003
   0.5617575E+003   0.5867033E+003
   0.5853653E+003   0.6230508E+003
   0.6184094E+003   0.6716468E+003
   0.6345713E+003   0.6925704E+003
   0.6588158E+003   0.6737485E+003
   0.7387056E+003   0.7633133E+003
   0.8393643E+003   0.8734826E+003
   0.8526108E+003   0.8724231E+003
   0.9490589E+003   0.9789452E+003
   0.9778149E+003   0.1005757E+004
   0.9385948E+003   0.9417461E+003
   0.9325754E+003   0.9042732E+003
   0.9271311E+003   0.8936624E+003
   0.9089382E+003   0.8825369E+003
   0.9234482E+003   0.9019307E+003
   0.9021945E+003   0.8844552E+003
   0.8651155E+003   0.8571030E+003
   0.8241184E+003   0.8281886E+003
   0.7948261E+003   0.8094846E+003
   0.7703631E+003   0.7935767E+003
   0.7321223E+003   0.7666015E+003
   0.7089280E+003   0.7464364E+003
   0.6819350E+003   0.7126179E+003
   0.6487854E+003   0.6659524E+003
   0.6194720E+003   0.6304415E+003
   0.6266733E+003   0.6386752E+003
   0.6565579E+003   0.6749690E+003
   0.6959550E+003   0.7119843E+003
   0.7393697E+003   0.7647080E+003
   0.7086636E+003   0.7384032E+003
   0.6427305E+003   0.6676695E+003
   0.5625751E+003   0.6039699E+003
   0.4816054E+003   0.5456200E+003
   0.4299497E+003   0.5025582E+003
   0.3936083E+003   0.4432367E+003
   0.3617992E+003   0.3845447E+003
   0.3726586E+003   0.3840905E+003
   0.4107937E+003   0.4535335E+003
   0.4599707E+003   0.5162061E+003
   0.5292047E+003   0.5706930E+003
   0.5789336E+003   0.6066466E+003
   0.6040773E+003   0.6440897E+003
   0.6269207E+003   0.6765326E+003
   0.6253676E+003   0.6751650E+003
   0.6300939E+003   0.6432273E+003
   0.6875439E+003   0.7049238E+003
   0.7719407E+003   0.7990530E+003
   0.7952282E+003   0.8250500E+003
   0.8960629E+003   0.9510501E+003
   0.9617999E+003   0.1024440E+004
   0.9618019E+003   0.9798115E+003
   0.9611014E+003   0.9469422E+003
   0.9637238E+003   0.9498782E+003
   0.9452387E+003   0.9406958E+003
   0.9469880E+003   0.9458888E+003
   0.9300791E+003   0.9338194E+003
   0.9036978E+003   0.9148529E+003
   0.8662598E+003   0.8835199E+003
   0.8301753E+003   0.8541011E+003
   0.8001639E+003   0.8329538E+003
   0.7506833E+003   0.7885696E+003
   0.6997525E+003   0.7342903E+003
   0.6558461E+003   0.6741633E+003
   0.5904705E+003   0.5814427E+003
   0.5335848E+003   0.5144534E+003
   0.5345190E+003   0.5242564E+003
   0.5795273E+003   0.5822754E+003
   0.6543568E+003   0.6592509E+003
   0.7229182E+003   0.7474962E+003
   0.7245248E+003   0.7523530E+003
   0.6613200E+003   0.6883798E+003
   0.5618551E+003   0.5963234E+003
   0.4700136E+003   0.5249134E+003
   0.4128425E+003   0.4885536E+003
   0.3808925E+003   0.4460410E+003
   0.3654155E+003   0.3982421E+003
   0.3850282E+003   0.3966965E+003
   0.4238275E+003   0.4672339E+003
   0.4778064E+003   0.5406228E+003
   0.5417082E+003   0.5944154E+003
   0.5878555E+003   0.6314125E+003
   0.6045795E+003   0.6606355E+003
   0.6111019E+003   0.6657487E+003
   0.6004025E+003   0.6443188E+003
   0.5937671E+003   0.6050334E+003
   0.6315183E+003   0.6419035E+003
   0.7085070E+003   0.7272261E+003
   0.7427303E+003   0.7791923E+003
   0.8576260E+003   0.9387983E+003
   0.9528982E+003   0.1047524E+004
   0.9904615E+003   0.1036096E+004
   0.9917186E+003   0.1018240E+004
   0.9857740E+003   0.1024306E+004
   0.9539838E+003   0.9947813E+003
   0.9313629E+003   0.9730538E+003
   0.9069245E+003   0.9544136E+003
   0.8796057E+003   0.9257350E+003
   0.8467622E+003   0.8874752E+003
   0.8066642E+003   0.8412715E+003
   0.7694418E+003   0.8102407E+003
   0.7181309E+003   0.7630400E+003
   0.6583468E+003   0.7016588E+003
   0.6099424E+003   0.6400164E+003
   0.5514407E+003   0.5473598E+003
   0.4975187E+003   0.4793760E+003
   0.4946819E+003   0.4842148E+003
   0.5432130E+003   0.5420488E+003
   0.6293620E+003   0.6290568E+003
   0.6977718E+003   0.7081416E+003
   0.7127648E+003   0.7207995E+003
   0.6666852E+003   0.6826243E+003
   0.5640237E+003   0.5887894E+003
   0.4753975E+003   0.5212188E+003
   0.4266240E+003   0.5044165E+003
   0.4053460E+003   0.4908827E+003
   0.4206076E+003   0.4801857E+003
   0.4561794E+003   0.4907625E+003
   0.4870042E+003   0.5347427E+003
   0.5181713E+003   0.5864007E+003
