#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
  -0.3753208E+001  -0.1079375E+002   0.1380013E+002  -0.5736222E+002  -0.2343930E+002   0.2507780E+002   0.8217646E+002  -0.8667914E+002   0.2712195E+002  -0.7055735E-001   0.1012482E+005
   0.1272664E+002  -0.1919388E+002   0.1145085E+002  -0.5243425E+002  -0.2234241E+002   0.2579296E+002  -0.2390172E+001  -0.6545531E+002   0.9207380E+001  -0.4083810E+000   0.4138764E+004
   0.2151657E+002  -0.1810915E+002   0.7089230E+001  -0.1916842E+002  -0.1512177E+002   0.2050238E+002  -0.4044554E+002  -0.4147297E+002  -0.6731409E+001  -0.3366076E+000   0.2207919E+004
   0.1279895E+002  -0.7156711E+001   0.3505781E+001   0.2029998E+001  -0.8277880E+000   0.1376536E+002  -0.1093359E+002   0.1244079E+001  -0.1178206E+002   0.1890982E+000   0.4566728E+003
  -0.1252208E+002  -0.4339787E+001   0.2820821E+001   0.9137385E+001   0.1979720E+002   0.8786882E+001   0.7271318E+002   0.4245952E+002  -0.6875056E+001   0.4000650E+000   0.4773242E+004
   0.9631155E+000  -0.9287052E+001   0.2870095E+001  -0.5472441E+001   0.3721011E+002   0.7479612E+001   0.1094250E+003   0.6803924E+002  -0.3692393E+002   0.1249300E+001   0.1201394E+005
   0.3713660E+002  -0.1443575E+002  -0.7100273E+000  -0.6188807E+001   0.4666880E+002   0.1000779E+002   0.1069245E+003   0.5169994E+002  -0.8063372E+002   0.3171673E+001   0.1781292E+005
   0.7375653E+002  -0.2129451E+002  -0.4327735E+001  -0.1070874E+002   0.4226956E+002   0.9861711E+001   0.8467051E+002   0.7833877E+001  -0.1111291E+003   0.4896945E+001   0.2346459E+005
   0.6361741E+002  -0.3649639E+002  -0.1900450E+001   0.7351056E+001   0.3164007E+002   0.3075554E+001   0.5699344E+002  -0.6591579E+002  -0.9174638E+002   0.3511110E+001   0.1737835E+005
   0.1858850E+002  -0.6635523E+002   0.5093395E+001   0.1852259E+002   0.1953882E+002  -0.5108327E+001  -0.1041323E+002  -0.1252148E+003  -0.3722883E+002   0.8984889E+000   0.1176320E+005
  -0.3133880E+002  -0.9114502E+002   0.1604760E+002   0.1661306E+002   0.1111943E+002  -0.8384247E+001  -0.1032458E+003  -0.1684867E+003   0.1926155E+002  -0.9578237E+000   0.2369740E+005
  -0.5386655E+002  -0.9238834E+002   0.1843772E+002  -0.1082124E+002   0.6227784E+001  -0.2796149E+001  -0.1162931E+003  -0.1470538E+003   0.4470158E+002  -0.2937182E+001   0.2627720E+005
  -0.3919977E+002  -0.6316610E+002   0.1387886E+002  -0.3206522E+002  -0.7298348E-001   0.2661659E+001  -0.2927382E+002  -0.3386009E+002   0.3551486E+002  -0.3757888E+001   0.7932901E+004
  -0.1555652E+002  -0.2830606E+002   0.9821158E+001  -0.3233214E+002  -0.1010232E+002   0.2146786E+001   0.3338736E+002   0.8364952E+002   0.2268400E+002  -0.2974841E+001   0.7308163E+004
   0.1220121E+001  -0.6718728E+001   0.7723864E+001  -0.2487565E+001  -0.2308577E+002  -0.3528267E+001   0.6890058E+002   0.1777467E+003   0.2037004E+002  -0.1495606E+001   0.1910269E+005
  -0.3771854E+001  -0.6722044E+001   0.1050399E+002   0.3298315E+002  -0.3380284E+002  -0.8202580E+001  -0.2847914E+002   0.1879534E+003   0.3694667E+002  -0.6280298E+000   0.1918333E+005
  -0.1123662E+002  -0.4044120E+002   0.2345718E+002   0.4313742E+002  -0.3320703E+002   0.8257188E+001  -0.1154444E+003   0.8402679E+002   0.4433608E+002  -0.1075715E+000   0.1168728E+005
  -0.3076585E+001  -0.3054240E+002   0.1927073E+002   0.2639110E+002  -0.5243538E+002   0.2377418E+001  -0.9814691E+002   0.1252775E+003   0.5380304E+002  -0.1708926E+001   0.1691997E+005
  -0.9242655E+000  -0.1618939E+002   0.9944228E+001  -0.7072904E+001  -0.6906583E+002  -0.6292177E+001   0.1754124E+001   0.1708888E+003   0.6802756E+002  -0.1962529E+001   0.2328243E+005
  -0.1100655E+002  -0.6120758E+001  -0.3541115E+001  -0.3553062E+002  -0.7518403E+002  -0.1156322E+002   0.1121471E+003   0.1679974E+003   0.8379158E+002  -0.2398999E+001   0.3179377E+005
  -0.2361765E+002  -0.1669541E+001  -0.1120665E+002  -0.3543975E+002  -0.6654677E+002  -0.9172528E+001   0.1410383E+003   0.1090175E+003   0.8925968E+002  -0.9047409E+000   0.2705447E+005
  -0.3150140E+002  -0.7488570E+000  -0.1159985E+002  -0.2751548E+002  -0.4969409E+002  -0.2187622E+001   0.9293441E+002   0.1686158E+002   0.8037164E+002  -0.8238551E+000   0.1373597E+005
  -0.2921806E+002   0.1405280E+001  -0.1095081E+002  -0.1314717E+002  -0.2851858E+002   0.3482404E+001   0.2117367E+002  -0.7325695E+002   0.5618110E+002  -0.1555535E+001   0.7377947E+004
  -0.1250011E+002   0.6572804E+001  -0.1177380E+002  -0.9275905E+001  -0.1588989E+002   0.4235395E+001  -0.2071670E+002  -0.1310159E+003   0.2643775E+002  -0.1952249E+001   0.9674547E+004
   0.6913511E+001   0.1323705E+002  -0.1371497E+002  -0.4035339E+001  -0.1104909E+002  -0.9363517E+000  -0.1892265E+002  -0.1389328E+003   0.2494291E+001  -0.1641288E+001   0.1053183E+005
   0.2453038E+002   0.1700660E+002  -0.1565543E+002   0.3768225E+001  -0.1323736E+002  -0.8882938E+001   0.3328959E+002  -0.1275103E+003  -0.1209452E+002  -0.8015095E+000   0.1059586E+005
