 # filt(alp*rho*Vry/tfpF)    filt(alp*rho*Vry)/filt(tfpF)
  -0.2718534E+003  -0.2809680E+003
  -0.2661423E+003  -0.2793883E+003
  -0.2726439E+003  -0.2888674E+003
  -0.2699558E+003  -0.2840915E+003
  -0.2332836E+003  -0.2383895E+003
  -0.1834092E+003  -0.1822104E+003
  -0.1511167E+003  -0.1561520E+003
  -0.1554648E+003  -0.1650802E+003
  -0.1426677E+003  -0.1469814E+003
  -0.1060347E+003  -0.1056839E+003
  -0.2836574E+002  -0.3590123E+002
   0.4049491E+002   0.1812856E+002
   0.4663971E+002   0.1914360E+002
  -0.6758106E+001  -0.3194470E+002
  -0.6215547E+002  -0.7603692E+002
  -0.9077863E+002  -0.9253014E+002
  -0.7512208E+002  -0.7592260E+002
  -0.7116226E+002  -0.7298288E+002
  -0.7647883E+002  -0.7903350E+002
  -0.8456538E+002  -0.8804126E+002
  -0.8788552E+002  -0.9075608E+002
  -0.7879839E+002  -0.8272336E+002
  -0.5832471E+002  -0.6269746E+002
  -0.3055537E+002  -0.3437213E+002
  -0.2118122E+002  -0.2388314E+002
  -0.2254326E+002  -0.2387504E+002
  -0.2227817E+002  -0.2314348E+002
  -0.1062195E+002  -0.1090512E+002
  -0.3041842E+000  -0.4376174E+000
  -0.6210769E+000  -0.7070120E+000
  -0.7892289E+001  -0.8762879E+001
  -0.2619358E+002  -0.2819317E+002
  -0.5864557E+002  -0.6022300E+002
  -0.1177804E+003  -0.1186893E+003
  -0.1618340E+003  -0.1655965E+003
  -0.2184927E+003  -0.2202768E+003
  -0.2470605E+003  -0.2489354E+003
  -0.2742248E+003  -0.2799446E+003
  -0.2807365E+003  -0.2878282E+003
  -0.2424883E+003  -0.2514087E+003
  -0.1901942E+003  -0.1991671E+003
  -0.1396159E+003  -0.1470434E+003
  -0.1218304E+003  -0.1273850E+003
  -0.1313467E+003  -0.1359814E+003
  -0.1245568E+003  -0.1267112E+003
  -0.1067732E+003  -0.1068765E+003
  -0.9751626E+002  -0.1001528E+003
  -0.1342272E+003  -0.1361020E+003
  -0.1550404E+003  -0.1545394E+003
  -0.1329413E+003  -0.1295755E+003
  -0.4510291E+002  -0.5167087E+002
   0.5731146E+002   0.3505469E+002
   0.9758445E+002   0.7438968E+002
   0.6170647E+002   0.4375425E+002
   0.5983170E+001  -0.2324036E+001
  -0.3321941E+002  -0.3138677E+002
  -0.1787309E+002  -0.1511578E+002
   0.9934046E+001   0.1026290E+002
   0.2053168E+002   0.2013967E+002
  -0.3013173E+001  -0.4356968E+001
  -0.5022933E+002  -0.5451103E+002
  -0.9098951E+002  -0.9967419E+002
  -0.8692545E+002  -0.9401540E+002
  -0.4912876E+002  -0.5308188E+002
  -0.2218726E+002  -0.2478316E+002
  -0.1318841E+002  -0.1450713E+002
  -0.1348346E+002  -0.1432058E+002
  -0.7456588E+000  -0.6406448E+000
   0.1135430E+002   0.1180891E+002
   0.1103052E+002   0.1182906E+002
  -0.2830731E+001  -0.3459420E+001
  -0.2761232E+002  -0.2976213E+002
  -0.6515671E+002  -0.6596493E+002
  -0.1164578E+003  -0.1149856E+003
  -0.1616856E+003  -0.1617580E+003
  -0.1997295E+003  -0.2023046E+003
  -0.1941606E+003  -0.1979009E+003
  -0.1779180E+003  -0.1838597E+003
  -0.1511505E+003  -0.1519935E+003
  -0.1317678E+003  -0.1337853E+003
  -0.1030351E+003  -0.1065454E+003
  -0.7892857E+002  -0.8241797E+002
  -0.7285040E+002  -0.7562154E+002
  -0.7954338E+002  -0.8386376E+002
  -0.7757727E+002  -0.8029981E+002
  -0.6522756E+002  -0.6684398E+002
  -0.5204801E+002  -0.5544838E+002
  -0.8467332E+002  -0.8421562E+002
  -0.1341101E+003  -0.1323802E+003
  -0.1082793E+003  -0.1111210E+003
  -0.7627500E+001  -0.1740610E+002
   0.1291804E+003   0.1084026E+003
   0.1874054E+003   0.1735166E+003
   0.1459801E+003   0.1382690E+003
   0.8160198E+002   0.7966768E+002
   0.2845731E+002   0.3207708E+002
   0.3270789E+002   0.3654441E+002
   0.8841943E+002   0.8877282E+002
   0.1490180E+003   0.1482081E+003
   0.1648269E+003   0.1641881E+003
   0.1149892E+003   0.1110510E+003
   0.3027018E+002   0.2080881E+002
  -0.2299592E+002  -0.3206134E+002
  -0.2529285E+002  -0.2980143E+002
  -0.1244297E+002  -0.1387271E+002
  -0.6143041E+000  -0.4590728E+000
   0.1149037E+001   0.1131524E+001
   0.1552825E+002   0.1616292E+002
   0.2348955E+002   0.2461171E+002
   0.5942545E+001   0.6169798E+001
