# ~alp d~p/dx   Phi_p_sgs,x
  -0.8750559E+001  -0.6256362E+001
  -0.1274487E+002  -0.4507336E+001
  -0.3067222E+002  -0.1142029E+002
  -0.3624609E+002  -0.1769838E+002
  -0.3402640E+002  -0.2177716E+002
  -0.2248120E+002  -0.2653886E+002
  -0.1246643E+002  -0.1350493E+002
   0.3154756E+001  -0.3097726E+001
   0.2630797E+002   0.2848301E+001
   0.2669243E+002   0.4748370E+001
   0.1835173E+002   0.3128408E+001
   0.1363089E+002   0.5415908E+001
   0.1739424E+002   0.9717891E+001
   0.1599239E+002   0.7252851E+001
   0.3699356E+001  -0.4544736E+001
   0.7137639E+000  -0.1487945E+002
   0.8428418E+000  -0.2110401E+002
   0.1371216E+002  -0.1539402E+002
   0.1270657E+002  -0.8341933E+001
   0.8788948E+001  -0.9899842E+000
   0.7702566E+001   0.7180936E+000
   0.5793469E+001   0.2614618E+001
   0.3116144E+001   0.3053038E+001
   0.1487596E+001   0.2136293E+001
  -0.2695397E+000   0.6465863E+000
  -0.7139104E+000   0.1572752E+001
   0.4439057E+001   0.8220007E+001
   0.1158881E+002   0.1364371E+002
   0.1454141E+002   0.1203091E+002
   0.5455674E+001   0.1173155E+002
  -0.2264518E+001   0.3095217E+001
  -0.2402709E+001   0.3089617E+000
  -0.2963532E+001   0.3318060E+000
  -0.4285273E+001   0.1071008E+001
  -0.3978759E+001   0.1289106E+001
  -0.1602335E+002  -0.1384290E+002
  -0.2265981E+002  -0.1052464E+002
  -0.3174926E+002  -0.1760250E+002
  -0.2424791E+002  -0.1506003E+002
  -0.1757957E+002  -0.9159324E+001
  -0.1490513E+002  -0.5000542E+001
  -0.2032213E+002  -0.3270437E+001
  -0.3116146E+002  -0.8665284E+001
  -0.2972505E+002  -0.1251432E+002
  -0.1971199E+002  -0.1203035E+002
  -0.7277258E+001   0.3626119E+001
   0.1189064E+002   0.2638418E+002
   0.3363397E+002   0.2647937E+002
   0.4772819E+002   0.1992395E+002
   0.2699067E+002   0.1197566E+002
   0.1256745E+002   0.3366361E+001
   0.9756482E+001   0.5041857E+001
   0.1072694E+002   0.7999882E+001
   0.8775005E+001   0.1716392E+001
   0.4832344E-001  -0.1142929E+002
  -0.5063909E+001  -0.1594275E+002
  -0.5132466E+001  -0.1410925E+002
   0.9043965E+001  -0.1052673E+002
   0.1746047E+002  -0.6924603E+001
   0.1583226E+002   0.1071170E+000
   0.1136416E+002   0.3595083E+001
   0.6081854E+001   0.3337021E+001
   0.1806690E+001   0.1812013E+001
   0.7680119E+000   0.1048730E+001
   0.4201691E+000   0.4020586E+000
   0.1347648E-001   0.2064682E-001
   0.1799986E+001   0.2951825E+001
   0.4021651E+001   0.7386879E+001
   0.5184882E+001   0.7910449E+001
   0.2293077E+001   0.7142576E+001
  -0.1262893E+001   0.2318302E+001
  -0.1451490E+001   0.1036839E+000
  -0.2080578E+001   0.9336783E-001
  -0.4250996E+001   0.2951277E+001
  -0.3948506E+001   0.3996819E+001
  -0.2167100E+002  -0.7734630E+001
  -0.2237812E+002  -0.5861792E+001
  -0.2396670E+002  -0.1288709E+002
  -0.1582112E+002  -0.1010794E+002
  -0.1155992E+002  -0.5506245E+001
  -0.1188568E+002  -0.3350960E+001
  -0.1759189E+002  -0.2651981E+001
  -0.2446366E+002  -0.3898935E+001
  -0.2604228E+002  -0.6969971E+001
  -0.1545896E+002  -0.9054286E+001
  -0.3634626E+001   0.8538342E+001
   0.2452034E+002   0.4187569E+002
   0.5234563E+002   0.4422216E+002
   0.5184944E+002   0.4148971E+002
   0.1494560E+002   0.2973549E+002
  -0.8779285E+000   0.6356577E+001
   0.2258206E+001   0.1116037E+001
   0.3893103E+001   0.1998766E+001
   0.3579176E+001  -0.5740967E+000
   0.1078525E-001  -0.8652323E+001
  -0.2774823E+001  -0.8625409E+001
  -0.4459547E+001  -0.4954164E+001
   0.4069455E+001  -0.1798163E+001
   0.1644682E+002  -0.2703961E+000
   0.1941416E+002   0.2634455E+001
   0.1458763E+002   0.5757755E+001
   0.6671354E+001   0.3965294E+001
   0.1403981E+001   0.1349592E+001
   0.4366777E+000   0.9912088E+000
   0.4299106E+000   0.6650993E+000
   0.1041417E+000   0.8232806E-001
   0.1059990E+000   0.5723549E-001
   0.1888456E+000   0.1386693E+001
   0.2448560E+000   0.1904302E+001
   0.3604997E+000   0.1538301E+001
  -0.6556316E-001   0.1300707E+000
  -0.2231627E+000  -0.3305908E+000
  -0.6624964E+000  -0.3992110E+000
  -0.1962489E+001   0.2053832E+001
  -0.1522475E+001   0.2841355E+001
  -0.1877257E+002  -0.3505030E+001
  -0.1591431E+002  -0.4443421E+001
  -0.1569238E+002  -0.9232868E+001
  -0.1039857E+002  -0.5797964E+001
  -0.5384265E+001  -0.1489832E+001
  -0.5904806E+001  -0.1567639E+001
  -0.1194500E+002  -0.2942523E+001
  -0.2127551E+002  -0.6660547E+001
  -0.3194103E+002  -0.9825695E+001
  -0.2189682E+002  -0.1481523E+002
  -0.3145159E+001  -0.4502037E+001
   0.2592921E+002   0.2737820E+002
   0.4185518E+002   0.3591945E+002
   0.3181609E+002   0.3864567E+002
   0.4324757E+001   0.2328304E+002
  -0.8226708E+001   0.3876833E+001
  -0.3954860E+001  -0.2865929E+001
   0.4793052E+000  -0.3471302E+001
   0.1296640E+001  -0.1277908E+001
   0.2531749E+000  -0.1776014E+001
  -0.6059645E+000  -0.1732790E+001
  -0.1728340E+001  -0.1862127E+001
   0.1248369E+001   0.7911696E+000
   0.1198744E+002   0.3407628E+001
   0.2021015E+002   0.4603440E+001
   0.1692348E+002   0.7087884E+001
   0.6997512E+001   0.5283216E+001
   0.8836802E+000   0.1200087E+001
  -0.3892894E+000   0.1381862E+000
  -0.6005322E+000  -0.5330148E+000
  -0.1152940E+001  -0.1514170E+001
  -0.1381953E+001  -0.1524901E+001
  -0.1166837E+001  -0.1256181E+001
  -0.1888482E+000  -0.4775607E+000
   0.4617051E+000  -0.3688076E-001
